Rank,Name,Country,Sales,Profit,Assets,Market_Value,Link
1004,China Mengniu Dairy,Hong Kong,$13.66 B,$778.6 M,$15.39 B,$21.62 B,https://www.forbes.com/companies/china-mengniu-dairy/?list=global2000
1005,Db Insurance,South Korea,$14.99 B,$759.3 M,$53.62 B,$3.39 B,https://www.forbes.com/companies/db-insurance/?list=global2000
1006,E.Sun Financial,Taiwan,$3.05 B,$736 M,$116.78 B,$15.06 B,https://www.forbes.com/companies/esun-financial/?list=global2000
1007,OTP Bank,Hungary,$5.8 B,$1.5 B,$85.02 B,$8.49 B,https://www.forbes.com/companies/otp-bank/?list=global2000
1008,SM Investments,Philippines,$8.14 B,$781 M,$26.31 B,$20.01 B,https://www.forbes.com/companies/sm-investments/?list=global2000
1009,eBay,United States,$10.9 B,$-2.18 B,$26.63 B,$31.24 B,https://www.forbes.com/companies/ebay/?list=global2000
1010,Edwards Lifesciences,United States,$5.23 B,$1.5 B,$8.5 B,$73.55 B,https://www.forbes.com/companies/edwards-lifesciences/?list=global2000
1011,Taiwan Cooperative Financial,Taiwan,$2.67 B,$735.1 M,$160.26 B,$13.41 B,https://www.forbes.com/companies/taiwan-cooperative-financial/?list=global2000
1012,Constellation Brands,United States,$8.82 B,$-40.4 M,$25.86 B,$46.99 B,https://www.forbes.com/companies/constellation-brands/?list=global2000
1013,China Jinmao,Hong Kong,$14.01 B,$724.5 M,$64.64 B,$4.04 B,https://www.forbes.com/companies/china-jinmao/?list=global2000
1014,Fanuc,Japan,$6.52 B,$1.43 B,$14.79 B,$31.36 B,https://www.forbes.com/companies/fanuc/?list=global2000
1015,Yango Group,China,$12.63 B,$828.3 M,$57.93 B,$1.66 B,https://www.forbes.com/companies/yango-group/?list=global2000
1016,Legrand,France,$8.27 B,$1.07 B,$15.95 B,$24.35 B,https://www.forbes.com/companies/legrand/?list=global2000
1017,Shanghai Pharmaceuticals,China,$33.36 B,$787.8 M,$25.64 B,$6.02 B,https://www.forbes.com/companies/shanghai-pharmaceuticals/?list=global2000
1018,AGC,Japan,$15.45 B,$1.13 B,$23.15 B,$8.47 B,https://www.forbes.com/companies/agc/?list=global2000
1019,Shaanxi Construction Engineering Group,China,$23.76 B,$717.5 M,$34.62 B,$2.8 B,https://www.forbes.com/companies/shaanxi-construction-engineering-group/?list=global2000
1020,Hunan Valin Steel,China,$25.84 B,$1.43 B,$16.55 B,$6.29 B,https://www.forbes.com/companies/hunan-valin-steel/?list=global2000
1021,Goodman Group,Australia,$1.27 B,$2.46 B,$13.93 B,$32.02 B,https://www.forbes.com/companies/goodman-group/?list=global2000
1022,iA Financial Corporation,Canada,$13.28 B,$679.6 M,$73.19 B,$6.13 B,https://www.forbes.com/companies/ia-financial/?list=global2000
1023,Unum,United States,$12.01 B,$824.2 M,$59.53 B,$6.75 B,https://www.forbes.com/companies/unum/?list=global2000
1024,Anta Sports Products,China,$7.65 B,$1.2 B,$9.83 B,$31.9 B,https://www.forbes.com/companies/anta-sports-products/?list=global2000
1025,Continental Resources,United States,$5.82 B,$1.66 B,$19 B,$21.35 B,https://www.forbes.com/companies/continental-resources/?list=global2000
1026,Bâloise Group,Switzerland,$11.06 B,$643.6 M,$97.85 B,$8.19 B,https://www.forbes.com/companies/baloise-group/?list=global2000
1027,Pegatron,Taiwan,$45.24 B,$735.6 M,$24.46 B,$6.56 B,https://www.forbes.com/companies/pegatron/?list=global2000
1028,Jones Lang LaSalle,United States,$19.49 B,$961.6 M,$15.51 B,$11.12 B,https://www.forbes.com/companies/jones-lang-lasalle/?list=global2000
1029,American Financial Group,United States,$6.21 B,$2 B,$24.89 B,$12.28 B,https://www.forbes.com/companies/american-financial-group/?list=global2000
1029,Daiwa Securities,Japan,$5.82 B,$1.16 B,$229.39 B,$7.59 B,https://www.forbes.com/companies/daiwa-securities/?list=global2000
1031,Deutsche Lufthansa,Germany,$19.87 B,$-2.59 B,$49.46 B,$9.3 B,https://www.forbes.com/companies/deutsche-lufthansa/?list=global2000
1031,Invesco,United States,$7.01 B,$1.63 B,$32.69 B,$9.38 B,https://www.forbes.com/companies/invesco/?list=global2000
1031,NASDAQ,United States,$5.77 B,$1.17 B,$20.82 B,$27.43 B,https://www.forbes.com/companies/nasdaq/?list=global2000
1034,Schindler Holding,Switzerland,$12.29 B,$905.6 M,$13.14 B,$21.51 B,https://www.forbes.com/companies/schindler-holding/?list=global2000
1035,Comerica,United States,$2.95 B,$1 B,$89.17 B,$10.61 B,https://www.forbes.com/companies/comerica/?list=global2000
1036,Mizrahi Tefahot Bank,Israel,$4.34 B,$987 M,$126.03 B,$9.75 B,https://www.forbes.com/companies/mizrahi-tefahot-bank/?list=global2000
1037,Bio-Rad Laboratories,United States,$2.92 B,$4.25 B,$17.78 B,$15.99 B,https://www.forbes.com/companies/bio-rad-laboratories/?list=global2000
1038,Industries Qatar,Qatar,$4.24 B,$2.24 B,$11.62 B,$33.56 B,https://www.forbes.com/companies/industries-qatar/?list=global2000
1039,Kakao,South Korea,$5.36 B,$1.22 B,$19.16 B,$32.23 B,https://www.forbes.com/companies/kakao/?list=global2000
1040,Ashtead Group,United Kingdom,$7.65 B,$1.18 B,$14.78 B,$26.45 B,https://www.forbes.com/companies/ashtead-group/?list=global2000
1041,Punjab National Bank,India,$12.1 B,$571.2 M,$178.94 B,$5.1 B,https://www.forbes.com/companies/punjab-national-bank/?list=global2000
1042,Delta Electronics,Taiwan,$11.27 B,$959.3 M,$13.2 B,$21.84 B,https://www.forbes.com/companies/delta-electronics/?list=global2000
1043,Alcon,Switzerland,$8.29 B,$375.8 M,$28 B,$38.47 B,https://www.forbes.com/companies/alcon/?list=global2000
1043,TD SYNNEX,United States,$42.15 B,$436.4 M,$28.72 B,$9.61 B,https://www.forbes.com/companies/td-synnex/?list=global2000
1045,Antofagasta,United Kingdom,$7.47 B,$1.29 B,$17.28 B,$18.92 B,https://www.forbes.com/companies/antofagasta/?list=global2000
1045,PulteGroup,United States,$13.93 B,$1.93 B,$13.35 B,$10.12 B,https://www.forbes.com/companies/pultegroup/?list=global2000
1045,Wan Hai Lines,Taiwan,$8.16 B,$3.7 B,$9.31 B,$13.01 B,https://www.forbes.com/companies/wan-hai-lines/?list=global2000
1048,Equinix,United States,$6.64 B,$500.2 M,$27.92 B,$67.84 B,https://www.forbes.com/companies/equinix/?list=global2000
1048,Reliance Steel,United States,$14.09 B,$1.41 B,$9.54 B,$11.93 B,https://www.forbes.com/companies/reliance-steel/?list=global2000
1050,PTT Global Chemical,Thailand,$14.65 B,$1.41 B,$22.57 B,$6.58 B,https://www.forbes.com/companies/ptt-global-chemical/?list=global2000
1051,Bankinter,Spain,$2.76 B,$1.56 B,$123.28 B,$5.39 B,https://www.forbes.com/companies/bankinter/?list=global2000
1052,Teva Pharmaceutical,Israel,$15.85 B,$423.1 M,$47.67 B,$10.63 B,https://www.forbes.com/companies/teva-pharmaceutical/?list=global2000
1053,C.H. Robinson,United States,$23.1 B,$844.2 M,$7.03 B,$13.14 B,https://www.forbes.com/companies/ch-robinson/?list=global2000
1054,Verbund,Austria,$5.65 B,$1.03 B,$19.46 B,$35.6 B,https://www.forbes.com/companies/verbund/?list=global2000
1055,Zions Bancorp,United States,$2.96 B,$1.12 B,$93.2 B,$9.23 B,https://www.forbes.com/companies/zions-bancorp/?list=global2000
1056,Bank Of Chengdu,China,$4.69 B,$1.07 B,$115.52 B,$9.08 B,https://www.forbes.com/companies/bank-of-chengdu/?list=global2000
1057,3i Group,United Kingdom,$331 M,$3.83 B,$16.62 B,$16.82 B,https://www.forbes.com/companies/3i-group/?list=global2000
1057,Alinma Bank,Saudi Arabia,$1.91 B,$722.2 M,$46.21 B,$21.53 B,https://www.forbes.com/companies/alinma-bank/?list=global2000
1059,JDE Peet's,Netherlands,$8.28 B,$904.2 M,$25 B,$15.03 B,https://www.forbes.com/companies/jde-peets/?list=global2000
1060,Cosmo Energy Holdings,Japan,$21.95 B,$1.36 B,$16.9 B,$2.11 B,https://www.forbes.com/companies/cosmo-energy-holdings/?list=global2000
1061,RiseSun Real Estate Development,China,$10.88 B,$952.4 M,$44.93 B,$2.55 B,https://www.forbes.com/companies/risesun-real-estate-development/?list=global2000
1061,Uni-President,Taiwan,$16.95 B,$711.7 M,$18.58 B,$13.09 B,https://www.forbes.com/companies/uni-president/?list=global2000
1063,Mahindra & Mahindra,India,$11.59 B,$731.7 M,$22.36 B,$14.96 B,https://www.forbes.com/companies/mahindra-mahindra/?list=global2000
1064,Telenor,Norway,$12.98 B,$237.8 M,$25.6 B,$20.41 B,https://www.forbes.com/companies/telenor/?list=global2000
1065,UCB,Belgium,$6.83 B,$1.25 B,$16.16 B,$22.35 B,https://www.forbes.com/companies/ucb/?list=global2000
1066,Interpublic Group,United States,$10.24 B,$952.8 M,$19.91 B,$13.81 B,https://www.forbes.com/companies/interpublic-group/?list=global2000
1067,Akzo Nobel,Netherlands,$11.44 B,$889.6 M,$17.41 B,$15.61 B,https://www.forbes.com/companies/akzo-nobel/?list=global2000
1067,Celanese,United States,$8.54 B,$1.89 B,$11.97 B,$15.42 B,https://www.forbes.com/companies/celanese/?list=global2000
1069,AvalonBay Communities,United States,$2.33 B,$1 B,$19.9 B,$35.58 B,https://www.forbes.com/companies/avalonbay-communities/?list=global2000
1069,Randstad N.V.,Netherlands,$29.12 B,$907.8 M,$12.76 B,$10.41 B,https://www.forbes.com/companies/randstad-nv/?list=global2000
1071,Sibanye Stillwater,South Africa,$11.64 B,$2.23 B,$9.59 B,$10.27 B,https://www.forbes.com/companies/sibanye-stillwater/?list=global2000
1072,First Financial Holding,Taiwan,$2.94 B,$706.7 M,$135.16 B,$12.38 B,https://www.forbes.com/companies/first-financial-holding/?list=global2000
1073,Microchip Technology,United States,$6.44 B,$963.6 M,$16.05 B,$36.73 B,https://www.forbes.com/companies/microchip-technology/?list=global2000
1074,Flex,Singapore,$25.46 B,$1.01 B,$18.18 B,$7.78 B,https://www.forbes.com/companies/flex/?list=global2000
1074,Liberty Media Corporation Series A Liberty Formula One,United States,$11.4 B,$398 M,$44.35 B,$14.14 B,https://www.forbes.com/companies/liberty-media-corporation-series-a-liberty-formula-one/?list=global2000
1076,Agilent Technologies,United States,$6.45 B,$1.21 B,$10.33 B,$36.41 B,https://www.forbes.com/companies/agilent-technologies/?list=global2000
1077,Guangzhou Automobile Group,China,$11.74 B,$1.16 B,$24.2 B,$8.59 B,https://www.forbes.com/companies/guangzhou-automobile-group/?list=global2000
1078,Rosseti,Russia,$14.5 B,$787.2 M,$38.88 B,$1.62 B,https://www.forbes.com/companies/rosseti/?list=global2000
1079,Beijing Shougang,China,$20.56 B,$924 M,$23.05 B,$6.46 B,https://www.forbes.com/companies/beijing-shougang/?list=global2000
1080,CGI,Canada,$9.73 B,$1.11 B,$11.64 B,$19.36 B,https://www.forbes.com/companies/cgi/?list=global2000
1081,Csc Financial,China,$6.06 B,$1.5 B,$71.04 B,$7.39 B,https://www.forbes.com/companies/csc-financial/?list=global2000
1081,ThyssenKrupp Group,Germany,$42.22 B,$160.7 M,$40.95 B,$4.88 B,https://www.forbes.com/companies/thyssenkrupp-group/?list=global2000
1083,Shenzhen Mindray Bio-Medical Electronics,China,$4.07 B,$1.31 B,$6.04 B,$56.3 B,https://www.forbes.com/companies/shenzhen-mindray-bio-medical-electronics/?list=global2000
1084,Hoya,Japan,$5.86 B,$1.42 B,$8.36 B,$36.8 B,https://www.forbes.com/companies/hoya/?list=global2000
1085,Tongwei,China,$9.07 B,$955.7 M,$12.9 B,$25.56 B,https://www.forbes.com/companies/tongwei/?list=global2000
1086,Kuwait Finance House,Kuwait,$3.48 B,$483.8 M,$72.95 B,$29.56 B,https://www.forbes.com/companies/kuwait-finance-house/?list=global2000
1087,Grupo Bimbo,Mexico,$17.18 B,$788.3 M,$16.5 B,$12.33 B,https://www.forbes.com/companies/grupo-bimbo/?list=global2000
1087,LKQ,United States,$13.09 B,$1.09 B,$12.61 B,$14.07 B,https://www.forbes.com/companies/lkq/?list=global2000
1089,Chubu Electric Power,Japan,$24.12 B,$-205.7 M,$52.96 B,$7.71 B,https://www.forbes.com/companies/chubu-electric-power/?list=global2000
1090,Lithia Motors,United States,$25.19 B,$1.25 B,$12.08 B,$8.53 B,https://www.forbes.com/companies/lithia-motors/?list=global2000
1091,Swire Pacific,Hong Kong,$11.68 B,$640 M,$55.96 B,$8.52 B,https://www.forbes.com/companies/swire-pacific/?list=global2000
1092,Unicaja Banco,Spain,$1.69 B,$1.32 B,$131.4 B,$2.69 B,https://www.forbes.com/companies/unicaja-banco/?list=global2000
1093,Mazda Motor,Japan,$28.08 B,$691.9 M,$26.09 B,$4.53 B,https://www.forbes.com/companies/mazda-motor/?list=global2000
1094,Telecom Italia,Italy,$18.18 B,$-10.19 B,$78.68 B,$6.56 B,https://www.forbes.com/companies/telecom-italia/?list=global2000
1095,China Galaxy Securities,China,$4.98 B,$1.57 B,$87.89 B,$5.85 B,https://www.forbes.com/companies/china-galaxy-securities/?list=global2000
1096,CNPC Capital,China,$5.33 B,$860.6 M,$155.42 B,$9.49 B,https://www.forbes.com/companies/cnpc-capital/?list=global2000
1097,China Southern Airlines,China,$15.76 B,$-1.88 B,$50.71 B,$9.46 B,https://www.forbes.com/companies/china-southern-airlines/?list=global2000
1097,Dassault Systemes,France,$5.75 B,$914.5 M,$16.17 B,$56.73 B,https://www.forbes.com/companies/dassault-systemes/?list=global2000
1099,GD Power Development,China,$23.2 B,$349 M,$59.02 B,$7.53 B,https://www.forbes.com/companies/gd-power-development/?list=global2000
1100,Paychex,United States,$4.5 B,$1.36 B,$10.28 B,$47.42 B,https://www.forbes.com/companies/paychex/?list=global2000
1101,Genworth Financial,United States,$7.83 B,$904 M,$83.2 B,$1.95 B,https://www.forbes.com/companies/genworth-financial/?list=global2000
1101,Monster Beverage,United States,$5.54 B,$1.38 B,$7.86 B,$45.34 B,https://www.forbes.com/companies/monster-beverage/?list=global2000
1103,China Longyuan Power,China,$5.72 B,$993 M,$29.7 B,$16.82 B,https://www.forbes.com/companies/china-longyuan-power/?list=global2000
1104,Ovintiv,United States,$10.54 B,$1.42 B,$14.05 B,$13.01 B,https://www.forbes.com/companies/ovintiv/?list=global2000
1105,BDO Unibank,Philippines,$4.28 B,$904.2 M,$69.48 B,$11.32 B,https://www.forbes.com/companies/bdo-unibank/?list=global2000
1106,AutoNation,United States,$26.69 B,$1.5 B,$9.36 B,$6.53 B,https://www.forbes.com/companies/autonation/?list=global2000
1106,China Aoyuan Group,China,$10.86 B,$838.2 M,$48.93 B,$446 M,https://www.forbes.com/companies/china-aoyuan-group/?list=global2000
1108,Chesapeake Energy,United States,$7.32 B,$6.33 B,$11.01 B,$11.08 B,https://www.forbes.com/companies/chesapeake-energy/?list=global2000
1109,J.B. Hunt Transport Services,United States,$13.04 B,$857.5 M,$7.03 B,$17.76 B,https://www.forbes.com/companies/jb-hunt-transport-services/?list=global2000
1110,Mediobanca,Italy,$3.68 B,$1.09 B,$101.32 B,$8.46 B,https://www.forbes.com/companies/mediobanca/?list=global2000
1111,Credicorp,Peru,$4.89 B,$915.7 M,$61.35 B,$11.7 B,https://www.forbes.com/companies/credicorp/?list=global2000
1112,Realty Income,United States,$2.08 B,$350.3 M,$43.14 B,$43.97 B,https://www.forbes.com/companies/realty-income/?list=global2000
1113,Beijing Enterprises,Hong Kong,$10.35 B,$1.28 B,$28.58 B,$4.33 B,https://www.forbes.com/companies/beijing-enterprises/?list=global2000
1114,Coterra Energy,United States,$3.67 B,$1.16 B,$20.27 B,$23.49 B,https://www.forbes.com/companies/coterra-energy/?list=global2000
1115,Siam Commercial Bank,Thailand,$5.43 B,$1.09 B,$101.37 B,$8.34 B,https://www.forbes.com/companies/siam-commercial-bank/?list=global2000
1116,Nongfu Spring,China,$4.6 B,$1.11 B,$5.16 B,$60.71 B,https://www.forbes.com/companies/nongfu-spring/?list=global2000
1117,Finatis,France,$36.13 B,$-582.7 M,$38.39 B,$171 M,https://www.forbes.com/companies/finatis/?list=global2000
1118,Greentown China Holdings,China,$15.73 B,$504.5 M,$81.75 B,$4.45 B,https://www.forbes.com/companies/greentown-china-holdings/?list=global2000
1119,Meritz Financial Group,South Korea,$10.97 B,$668.5 M,$68.62 B,$3.77 B,https://www.forbes.com/companies/meritz-financial-group/?list=global2000
1120,TBEA,China,$9.39 B,$1.12 B,$19.83 B,$11.1 B,https://www.forbes.com/companies/tbea/?list=global2000
1121,Rockwell Automation,United States,$7.29 B,$1 B,$10.74 B,$30.27 B,https://www.forbes.com/companies/rockwell-automation/?list=global2000
1122,West Fraser Timber Co.,Canada,$10.49 B,$2.93 B,$10.43 B,$9.23 B,https://www.forbes.com/companies/west-fraser-timber-co/?list=global2000
1123,Helvetia Holding,Switzerland,$13.77 B,$543.8 M,$76.84 B,$7.14 B,https://www.forbes.com/companies/helvetia-holding/?list=global2000
1124,Chow Tai Fook Jewellery,Hong Kong,$11.55 B,$950 M,$10.18 B,$16.65 B,https://www.forbes.com/companies/chow-tai-fook-jewellery/?list=global2000
1125,Givaudan,Switzerland,$7.31 B,$898 M,$12.53 B,$36.93 B,https://www.forbes.com/companies/givaudan/?list=global2000
1126,Polyus,Russia,$4.96 B,$2.26 B,$7.93 B,$23.38 B,https://www.forbes.com/companies/polyus/?list=global2000
1127,Lululemon Athletica,United States,$6.26 B,$975.3 M,$4.94 B,$46.52 B,https://www.forbes.com/companies/lululemon-athletica/?list=global2000
1128,Bath & Body Works,United States,$11.05 B,$1.33 B,$6.03 B,$12.74 B,https://www.forbes.com/companies/bath-body-works/?list=global2000
1128,Jabil Circuit,United States,$30.74 B,$807.5 M,$17.43 B,$8.11 B,https://www.forbes.com/companies/jabil-circuit/?list=global2000
1130,Innolux,Taiwan,$12.53 B,$2.06 B,$16.9 B,$5.52 B,https://www.forbes.com/companies/innolux/?list=global2000
1131,Partners Group Holding,Switzerland,$3.2 B,$1.6 B,$5.3 B,$31.4 B,https://www.forbes.com/companies/partners-group-holding/?list=global2000
1132,Luzhou Lao Jiao,China,$2.92 B,$1.21 B,$6.78 B,$45.69 B,https://www.forbes.com/companies/luzhou-lao-jiao/?list=global2000
1132,Scor,France,$17.23 B,$539 M,$53.88 B,$5.24 B,https://www.forbes.com/companies/scor/?list=global2000
1134,Dover,United States,$8.09 B,$1.12 B,$10.5 B,$20.61 B,https://www.forbes.com/companies/dover/?list=global2000
1135,East West Bancorp,United States,$1.91 B,$905.6 M,$62.24 B,$11.02 B,https://www.forbes.com/companies/east-west-bancorp/?list=global2000
1136,J Sainsbury,United Kingdom,$40.82 B,$389.9 M,$34.62 B,$7.17 B,https://www.forbes.com/companies/j-sainsbury/?list=global2000
1137,Kaisa Group Holdings,China,$9.55 B,$847.8 M,$49.39 B,$751 M,https://www.forbes.com/companies/kaisa-group-holdings/?list=global2000
1138,China Huarong Asset Management,China,$11.24 B,$58.7 M,$246.09 B,$3.89 B,https://www.forbes.com/companies/china-huarong-asset-management/?list=global2000
1139,AU Optronics,Taiwan,$13.27 B,$2.2 B,$15.35 B,$6.04 B,https://www.forbes.com/companies/au-optronics/?list=global2000
1139,Ulta Beauty,United States,$8.63 B,$985.8 M,$5.34 B,$21.23 B,https://www.forbes.com/companies/ulta-beauty/?list=global2000
1141,Korea Investment Holdings,South Korea,$3.06 B,$1.54 B,$69.01 B,$3.51 B,https://www.forbes.com/companies/korea-investment-holdings/?list=global2000
1142,Itaúsa,Brazil,$1.51 B,$2.26 B,$15.44 B,$18.42 B,https://www.forbes.com/companies/itausa/?list=global2000
1143,BAIC Motor,China,$27.27 B,$597.1 M,$28.38 B,$2.48 B,https://www.forbes.com/companies/baic-motor/?list=global2000
1144,Cellnex Telecom,Spain,$2.99 B,$-415.3 M,$47.53 B,$32.98 B,https://www.forbes.com/companies/cellnex-telecom/?list=global2000
1145,AES,United States,$11.14 B,$-413 M,$32.96 B,$15.01 B,https://www.forbes.com/companies/aes/?list=global2000
1145,Evraz Group,United Kingdom,$13.49 B,$3.04 B,$9.85 B,$1.52 B,https://www.forbes.com/companies/evraz-group/?list=global2000
1145,Leonardo,Italy,$16.71 B,$692.6 M,$32.27 B,$6.26 B,https://www.forbes.com/companies/leonardo/?list=global2000
1148,Impala Platinum Holdings,South Africa,$8.59 B,$2.42 B,$8.89 B,$11.04 B,https://www.forbes.com/companies/impala-platinum-holdings/?list=global2000
1149,Lotte Chemical,South Korea,$15.82 B,$1.18 B,$19.24 B,$5.41 B,https://www.forbes.com/companies/lotte-chemical/?list=global2000
1150,Foshan Haitian Flavouring and Food,China,$3.84 B,$1.03 B,$5.23 B,$58.05 B,https://www.forbes.com/companies/foshan-haitian-flavouring-and-food/?list=global2000
1151,Rolls-Royce Holdings,United Kingdom,$15.43 B,$218.7 M,$38.84 B,$9.84 B,https://www.forbes.com/companies/rolls-royce-holdings/?list=global2000
1152,Sodexo,France,$22.33 B,$518.1 M,$22.07 B,$11.33 B,https://www.forbes.com/companies/sodexo/?list=global2000
1153,Altice USA,United States,$10.09 B,$990.3 M,$34.05 B,$5.13 B,https://www.forbes.com/companies/altice-usa/?list=global2000
1153,Bank Negara Indonesia,Indonesia,$4.82 B,$762.4 M,$67.7 B,$12.13 B,https://www.forbes.com/companies/bank-negara-indonesia/?list=global2000
1155,DaVita,United States,$11.62 B,$978.5 M,$17.87 B,$10.73 B,https://www.forbes.com/companies/davita/?list=global2000
1156,Old Mutual,South Africa,$16.75 B,$450.4 M,$65.19 B,$3.74 B,https://www.forbes.com/companies/old-mutual/?list=global2000
1156,Yum China Holdings,China,$9.85 B,$990 M,$13.22 B,$17.41 B,https://www.forbes.com/companies/yum-china-holdings/?list=global2000
1158,Penske Automotive,United States,$25.55 B,$1.19 B,$14.16 B,$7.44 B,https://www.forbes.com/companies/penske-automotive/?list=global2000
1158,Yamaha Motor,Japan,$16.5 B,$1.42 B,$15.92 B,$7.4 B,https://www.forbes.com/companies/yamaha-motor/?list=global2000
1160,Kingfisher,United Kingdom,$18.12 B,$1.16 B,$16.57 B,$6.77 B,https://www.forbes.com/companies/kingfisher/?list=global2000
1161,Storebrand,Norway,$13.77 B,$363.2 M,$87.86 B,$4.54 B,https://www.forbes.com/companies/storebrand/?list=global2000
1162,Darden Restaurants,United States,$9.31 B,$1.04 B,$10.21 B,$16.72 B,https://www.forbes.com/companies/darden-restaurants/?list=global2000
1163,Hess,United States,$7.72 B,$559 M,$20.52 B,$32.97 B,https://www.forbes.com/companies/hess/?list=global2000
1164,CJ Corporation,South Korea,$30.11 B,$240.1 M,$35.29 B,$2.39 B,https://www.forbes.com/companies/cj-corporation/?list=global2000
1165,Falabella,Chile,$15.1 B,$857 M,$25.16 B,$7.27 B,https://www.forbes.com/companies/falabella/?list=global2000
1166,Coupang,South Korea,$18.41 B,$-1.54 B,$8.64 B,$24.7 B,https://www.forbes.com/companies/coupang/?list=global2000
1167,CapitaLand Investment,Singapore,$1.83 B,$1 B,$27.92 B,$15.2 B,https://www.forbes.com/companies/capitaland-investment/?list=global2000
1167,Fastighets Balder,Sweden,$1.04 B,$2.16 B,$25.43 B,$9.99 B,https://www.forbes.com/companies/fastighets-balder/?list=global2000
1169,Welltower,United States,$4.73 B,$336.1 M,$34.91 B,$43.1 B,https://www.forbes.com/companies/welltower/?list=global2000
1170,Kajima,Japan,$18.21 B,$941.5 M,$19.62 B,$5.64 B,https://www.forbes.com/companies/kajima/?list=global2000
1171,Steel Authority of India,India,$12.98 B,$1.79 B,$15.87 B,$5.48 B,https://www.forbes.com/companies/steel-authority-of-india/?list=global2000
1172,Caesars Entertainment,United States,$9.48 B,$-1.02 B,$38.03 B,$14.26 B,https://www.forbes.com/companies/caesars-entertainment/?list=global2000
1173,New World Development,Hong Kong,$8.85 B,$204.4 M,$82.05 B,$9.96 B,https://www.forbes.com/companies/new-world-development/?list=global2000
1174,Textron,United States,$12.38 B,$746 M,$15.83 B,$14.69 B,https://www.forbes.com/companies/textron/?list=global2000
1175,Cemex,Mexico,$14.65 B,$800.1 M,$26.65 B,$6.69 B,https://www.forbes.com/companies/cemex/?list=global2000
1176,Hexagon,Sweden,$5.13 B,$947.7 M,$16.03 B,$36.39 B,https://www.forbes.com/companies/hexagon/?list=global2000
1177,ZIM Integrated Shipping Services,Israel,$10.73 B,$4.64 B,$9.84 B,$6.53 B,https://www.forbes.com/companies/zim-integrated-shipping-services/?list=global2000
1178,China National Chemical,China,$20.54 B,$581.2 M,$25.21 B,$8.52 B,https://www.forbes.com/companies/china-national-chemical/?list=global2000
1179,Fastenal,United States,$6.3 B,$984 M,$4.47 B,$32.78 B,https://www.forbes.com/companies/fastenal/?list=global2000
1180,Chongqing Zhifei Biological Products,China,$4.74 B,$1.58 B,$4.71 B,$25.21 B,https://www.forbes.com/companies/chongqing-zhifei-biological-products/?list=global2000
1180,Secom,Japan,$9.55 B,$854.8 M,$16.25 B,$15.21 B,https://www.forbes.com/companies/secom/?list=global2000
1182,Angang Steel,China,$21.02 B,$1.07 B,$15.3 B,$4.35 B,https://www.forbes.com/companies/angang-steel/?list=global2000
1182,STO Express,China,$39.15 B,$-1.41 B,$29.45 B,$1.92 B,https://www.forbes.com/companies/sto-express/?list=global2000
1184,Zoom Video Communications,United States,$4.1 B,$1.38 B,$7.55 B,$29.96 B,https://www.forbes.com/companies/zoom-video-communications/?list=global2000
1185,Magnitogorsk Iron & Steel,Russia,$11.86 B,$3.12 B,$9.77 B,$6.07 B,https://www.forbes.com/companies/magnitogorsk-iron/?list=global2000
1186,NVR,United States,$8.74 B,$1.24 B,$5.83 B,$14.39 B,https://www.forbes.com/companies/nvr/?list=global2000
1187,Evergy,United States,$5.59 B,$879.7 M,$28.52 B,$16.36 B,https://www.forbes.com/companies/evergy/?list=global2000
1188,Alpha Dhabi Holding,United Arab Emirates,$5.13 B,$866.2 M,$12.89 B,$74.92 B,https://www.forbes.com/companies/alpha-dhabi-holding/?list=global2000
1188,Kirin Holdings,Japan,$16.58 B,$544.2 M,$21.47 B,$11.79 B,https://www.forbes.com/companies/kirin-holdings/?list=global2000
1190,Bank of Changsha,China,$5.66 B,$941.9 M,$121.72 B,$4.83 B,https://www.forbes.com/companies/bank-of-changsha/?list=global2000
1190,Voestalpine,Austria,$16.77 B,$1.04 B,$17.85 B,$4.85 B,https://www.forbes.com/companies/voestalpine/?list=global2000
1192,China Resources Pharmaceutical Group,Hong Kong,$30.47 B,$484.9 M,$31.88 B,$3.19 B,https://www.forbes.com/companies/china-resources-pharmaceutical-group/?list=global2000
1193,Kuaishou Technology,China,$12.58 B,$-12.05 B,$14.52 B,$32.25 B,https://www.forbes.com/companies/kuaishou-technology/?list=global2000
1194,BBMG,China,$18.91 B,$454 M,$44.93 B,$1.73 B,https://www.forbes.com/companies/bbmg/?list=global2000
1195,Suning.com,China,$28.6 B,$-1.9 B,$32.44 B,$4.71 B,https://www.forbes.com/companies/suning/?list=global2000
1196,National Bank of Greece,Greece,$2.65 B,$1.02 B,$95.48 B,$4 B,https://www.forbes.com/companies/national-bank-of-greece/?list=global2000
1197,Targa Resources,United States,$17.44 B,$71.2 M,$16.41 B,$17.39 B,https://www.forbes.com/companies/targa-resources/?list=global2000
1198,Olympus,Japan,$7.71 B,$901.9 M,$11.23 B,$23.96 B,https://www.forbes.com/companies/olympus/?list=global2000
1198,Umicore,Belgium,$28.43 B,$731.6 M,$10.45 B,$9.69 B,https://www.forbes.com/companies/umicore/?list=global2000
1200,Expedia Group,United States,$8.6 B,$12 M,$21.55 B,$28.29 B,https://www.forbes.com/companies/expedia-group/?list=global2000
1200,Hua Nan Financial,Taiwan,$2.54 B,$616 M,$125.09 B,$10.67 B,https://www.forbes.com/companies/hua-nan-financial/?list=global2000
